symbol,name,exchange,yahoo_symbol,kite_symbol,upstox_instrument_key,sector,industry,base_price,enabled
ANANTRAJ,ANANT RAJ LIMITED,NSE,ANANTRAJ.NS,NSE:ANANTRAJ,NSE_EQ|INE242C01024,,,100.0,1
ANDHRAPAP,ANDHRA PAPER LIMITED,NSE,ANDHRAPAP.NS,NSE:ANDHRAPAP,NSE_EQ|INE435A01051,,,100.0,1
ANDHRSUGAR,ANDHRA SUGARS LTD,NSE,ANDHRSUGAR.NS,NSE:ANDHRSUGAR,NSE_EQ|INE715B01021,,,100.0,1
ANGELONE,ANGEL ONE LIMITED,NSE,ANGELONE.NS,NSE:ANGELONE,NSE_EQ|INE732I01021,,,100.0,1
ANIKINDS,ANIK INDUSTRIES LTD,NSE,ANIKINDS.NS,NSE:ANIKINDS,NSE_EQ|INE087B01017,,,100.0,1
ANMOL,ANMOL INDIA LIMITED,NSE,ANMOL.NS,NSE:ANMOL,NSE_EQ|INE02AR01019,,,100.0,1
ANTELOPUS,ANTELOPUS SELAN ENRGY LTD,NSE,ANTELOPUS.NS,NSE:ANTELOPUS,NSE_EQ|INE818A01017,,,100.0,1
ANTGRAPHIC,ANTARCTICA LTD,NSE,ANTGRAPHIC.NS,NSE:ANTGRAPHIC,NSE_EQ|INE414B01021,,,100.0,1
ANTHEM,ANTHEM BIOSCIENCES LTD,NSE,ANTHEM.NS,NSE:ANTHEM,NSE_EQ|INE0CZ201020,,,100.0,1
ANUHPHR,ANUH PHARMA LIMITED,NSE,ANUHPHR.NS,NSE:ANUHPHR,NSE_EQ|INE489G01022,,,100.0,1
ANUP,THE ANUP ENGINEERING LTD,NSE,ANUP.NS,NSE:ANUP,NSE_EQ|INE294Z01018,,,100.0,1
ANURAS,ANUPAM RASAYAN INDIA LTD,NSE,ANURAS.NS,NSE:ANURAS,NSE_EQ|INE930P01018,,,100.0,1
AONEGOLD,AONEAMC - AONEGOLD,NSE,AONEGOLD.NS,NSE:AONEGOLD,NSE_EQ|INF1J2R01114,,,100.0,1
AONELIQUID,AONEAMC - AONELIQUID,NSE,AONELIQUID.NS,NSE:AONELIQUID,NSE_EQ|INF1J2R01056,,,100.0,1
AONENIFTY,AONEAMC - AONENIFTY,NSE,AONENIFTY.NS,NSE:AONENIFTY,NSE_EQ|INF1J2R01064,,,100.0,1
AONESILVER,AONEAMC - AONESILVER,NSE,AONESILVER.NS,NSE:AONESILVER,NSE_EQ|INF1J2R01171,,,100.0,1
AONETMMQ50,AONEAMC - AONETMMQ50,NSE,AONETMMQ50.NS,NSE:AONETMMQ50,NSE_EQ|INF1J2R01148,,,100.0,1
AONETOTAL,AONEAMC - AONETOTAL,NSE,AONETOTAL.NS,NSE:AONETOTAL,NSE_EQ|INF1J2R01015,,,100.0,1
APARINDS,APAR INDUSTRIES LTD.,NSE,APARINDS.NS,NSE:APARINDS,NSE_EQ|INE372A01015,,,100.0,1
APCL,ANJANI PORTLAND CEM LTD,NSE,APCL.NS,NSE:APCL,NSE_EQ|INE071F01012,,,100.0,1
APCOTEXIND,APCOTEX INDUSTRIES LIMITE,NSE,APCOTEXIND.NS,NSE:APCOTEXIND,NSE_EQ|INE116A01032,,,100.0,1
APEX,APEX FROZEN FOODS LIMITED,NSE,APEX.NS,NSE:APEX,NSE_EQ|INE346W01013,,,100.0,1
APLAPOLLO,APL APOLLO TUBES LTD,NSE,APLAPOLLO.NS,NSE:APLAPOLLO,NSE_EQ|INE702C01027,,,100.0,1
